District,Town,Member,Party,Email,Phone,Committees
18,North Washington (Part),Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
105,North Yarmouth,Anne P. Graham,D - North Yarmouth,Anne.Graham@legislature.maine.gov,(207) 370-4414,Health and Human Services; Veterans and Legal Affairs
30,unorganized territory of Northeast Piscataquis,James Lee White,R - Guilford,James.White@legislature.maine.gov,(207) 564-7308,Transportation
72,unorganized territory of Northeast Somerset,Elizabeth M. Caruso,R - Caratunk,Elizabeth.Caruso@legislature.maine.gov,(207) 399-9992,Leaves of Absence; Judiciary
10,Northfield,William R. Tuell,R - East Machias,William.tuell@legislature.maine.gov,(207) 271-8521,State and Local Government
39,Northport,Janice S. Dodge,D - Belfast,Jan.Dodge@legislature.maine.gov,(207) 338-1626,Education and Cultural Affairs
1,unorganized territory of Northwest Aroostook,Lucien J.B. Daigle,R - Fort Kent,Lucien.Daigle@legislature.maine.gov,(207) 631-8082,Health and Human Services
18,unorganized territory of Northwest Hancock,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
30,unorganized territory of Northwest Piscataquis,James Lee White,R - Guilford,James.White@legislature.maine.gov,(207) 564-7308,Transportation
73,unorganized territory of Northwest Somerset,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
81,Norway,Peter Conley Wood,R - Norway,Peter.Wood@legislature.maine.gov,(207) 890-3324,Marine Resources
7,Oakfield,Gregory Lewis Swallow,R - Houlton,Gregory.Swallow@legislature.maine.gov,(207) 521-7416,Taxation
66,Oakland,Robert W. Nutting,R - Oakland,Robert.Nutting@legislature.maine.gov,(207) 629-7035,Ethics; Criminal Justice and Public Safety - Ranking Member
146,Ogunquit,Walter Gerard Runte,D - York,Gerry.Runte@legislature.maine.gov,(207) 361-7143,"Leaves of Absence; Energy, Utilities and Technology"
131,Old Orchard Beach,Lori K. Gramlich,D - Old Orchard Beach,Lori.Gramlich@legislature.maine.gov,(207) 287-1430,Engrossed Bills
26,Old Town,James F. Dill,D - Old Town,James.Dill@legislature.maine.gov,(207) 827-3498,"Elections; Agriculture, Conservation and Forestry; Inland Fisheries and Wildlife"
8,Orient,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
17,Orland,Steven M. Bishop,R - Bucksport,Steven.Bishop@legislature.maine.gov,(207) 991-7909,Transportation
31,unorganized territory of Orneville Township,Chad R. Perkins,R - Dover-Foxcroft,Chad.Perkins@legislature.maine.gov,(207) 279-0927,Criminal Justice and Public Safety; Government Oversight Committee
24,Orono (Part),Sean Faircloth,D - Bangor,Sean.Faircloth@legislature.maine.gov,(207) 307-9868,Veterans and Legal Affairs
25,Orono (Part),Laurie Osher,D - Orono,Laurie.Osher@legislature.maine.gov,(207) 944-6743,Environment and Natural Resources
19,Orrington,Richard H. Campbell,R - Orrington,Richard.Campbell@legislature.maine.gov,(207) 745-7748,Ethics; Rules and Business of the House - Ranking Member; Environment and Natural Resources - Ranking Member
18,Osborn,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
18,Otis,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
80,Otisfield,Caldwell Jackson,R - Oxford,Caldwell.Jackson@legislature.maine.gov,(207) 272-8543,"Agriculture, Conservation and Forestry"
42,Owls Head (Part),Valli D. Geiger,D - Rockland,Valli.Geiger@legislature.maine.gov,(207) 956-1565,"Energy, Utilities and Technology; Labor"
43,Owls Head (Part),Ann Higgins Matlack,D - St. George,Ann.Matlack@legislature.maine.gov,(207) 691-1474,Government Oversight Committee; State and Local Government; Taxation
6,plantation Oxbow North Township,Donald J. Ardell,R - Monticello,Donald.Ardell@legislature.maine.gov,(207) 521-1130,Engrossed Bills; Criminal Justice and Public Safety
80,Oxford,Caldwell Jackson,R - Oxford,Caldwell.Jackson@legislature.maine.gov,(207) 272-8543,"Agriculture, Conservation and Forestry"
62,Palermo,Katrina J. Smith,R - Palermo,Katrina.Smith@legislature.maine.gov,(207) 230-9583,Ethics; Rules and Business of the House; Joint Select Committee on Joint Rules
69,Palmyra,Dean A. Cray,R - Palmyra,dean.cray@legislature.maine.gov,(207) 478-8279,"Bills in the Second Reading; Agriculture, Conservation and Forestry"
79,Paris,Michael J. Lance,R - Paris,Michael.Lance@legislature.maine.gov,(207) 577-1022,Inland Fisheries and Wildlife
30,Parkman,James Lee White,R - Guilford,James.White@legislature.maine.gov,(207) 564-7308,Transportation
139,Parsonsfield,David C. Woodsome,R - Waterboro,David.Woodsome@legislature.maine.gov,(207) 432-5643,Leaves of Absence - Ranking Member; Environment and Natural Resources; Inland Fisheries and Wildlife
18,Passadumkeag,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
9,township Passamaquoddy Indian Township,Arthur Kevin Mingo,R - Calais,Arthur.Mingo@legislature.maine.gov,(207) 214-8537,Housing and Economic Development
9,Passamaquoddy Pleasant Point,Arthur Kevin Mingo,R - Calais,Arthur.Mingo@legislature.maine.gov,(207) 214-8537,Housing and Economic Development
29,Patten,Kathy Irene Javner,R - Chester,Kathy.Javner@legislature.maine.gov,(207) 290-1321,Health and Human Services - Ranking Member
119,Peaks Island,Charles A. Skold,D - Portland,Charles.Skold@legislature.maine.gov,(207) 329-3838,Labor
10,Pembroke,William R. Tuell,R - East Machias,William.tuell@legislature.maine.gov,(207) 271-8521,State and Local Government
17,Penobscot,Steven M. Bishop,R - Bucksport,Steven.Bishop@legislature.maine.gov,(207) 991-7909,Transportation
26,Penobscot Indian Island,James F. Dill,D - Old Town,James.Dill@legislature.maine.gov,(207) 827-3498,"Elections; Agriculture, Conservation and Forestry; Inland Fisheries and Wildlife"
26,Penobscot Nation Voting District,James F. Dill,D - Old Town,James.Dill@legislature.maine.gov,(207) 827-3498,"Elections; Agriculture, Conservation and Forestry; Inland Fisheries and Wildlife"
2,Perham,Roger Clarence Albert,R - Madawaska,Roger.Albert@legislature.maine.gov,(207) 436-9156,Transportation
52,unorganized territory of Perkins Island Township,Sally Jeane Cluchey,D - Bowdoinham,Sally.Cluchey@legislature.maine.gov,(207) 814-8879,"Health Coverage, Insurance and Financial Services; Inland Fisheries and Wildlife"
9,Perry,Arthur Kevin Mingo,R - Calais,Arthur.Mingo@legislature.maine.gov,(207) 214-8537,Housing and Economic Development
77,Peru,Tammy L. Schmersal-Burgess,R - Mexico,Tammy.Schmersal-Burgess@legislature.maine.gov,(207) 357-7179,Environment and Natural Resources
73,Phillips,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
49,Phippsburg,Allison Hepler,D - Woolwich,Allison.Hepler@legislature.maine.gov,(207) 319-4396,"Agriculture, Conservation and Forestry; Marine Resources - Chair"
68,Pittsfield,Amanda N. Collamore,R - Pittsfield,Amanda.Collamore@legislature.maine.gov,(207) 679-7305,Ethics - Ranking Member; Housing and Economic Development - Ranking Member
53,Pittston,Michael H. Lemelin,R - Chelsea,Michael.Lemelin@legislature.maine.gov,(207) 798-9399,Government Oversight Committee - Ranking Member; Health and Human Services
72,plantation Pleasant Ridge,Elizabeth M. Caruso,R - Caratunk,Elizabeth.Caruso@legislature.maine.gov,(207) 399-9992,Leaves of Absence; Judiciary
33,Plymouth,Kenneth Wade Fredette,R - Newport,Kenneth.Fredette@legislature.maine.gov,(207) 287-1440,Appropriations and Financial Affairs
86,Poland (Part),Rolf A. Olsen,R - Raymond,Rolf.Olsen@legislature.maine.gov,(207) 632-1530,"Health Coverage, Insurance and Financial Services"
87,Poland (Part),David W. Boyer,R - Poland,David.Boyer@legislature.maine.gov,(207) 274-4633,Elections; Veterans and Legal Affairs - Ranking Member
1,Portage Lake,Lucien J.B. Daigle,R - Fort Kent,Lucien.Daigle@legislature.maine.gov,(207) 631-8082,Health and Human Services
82,Porter,Nathan J. Wadsworth,R - Hiram,Nathan.Wadsworth@legislature.maine.gov,(207) 838-7451,"Bills in the Second Reading; Energy, Utilities and Technology"
112,Portland (Part),W. Edward Crockett,D - Portland,Ed.Crockett@legislature.maine.gov,(207) 797-8371,Elections; Education and Cultural Affairs; Taxation
113,Portland (Part),Grayson B. Lookner,D - Portland,Grayson.Lookner@legislature.maine.gov,(207) 200-3860,Criminal Justice and Public Safety
114,Portland (Part),Dylan R. Pugh,D - Portland,Dylan.Pugh@legislature.maine.gov,(207) 200-7791,Judiciary
115,Portland (Part),Michael F. Brennan,D - Portland,Michael.Brennan@legislature.maine.gov,(207) 939-6462,Appropriations and Financial Affairs; Education and Cultural Affairs
116,Portland (Part),Samuel Lewis Zager,D - Portland,Sam.Zager@legislature.maine.gov,(207) 400-6846,Health and Human Services
117,Portland (Part),Matt Moonen,D - Portland,Matt.Moonen@legislature.maine.gov,(207) 287-1430,Rules and Business of the House; Joint Select Committee on Joint Rules - Chair
118,Portland (Part),Yusuf M. Yusuf,D - Portland,Yusuf.Yusuf@legislature.maine.gov,(207) 415-3438,Housing and Economic Development
119,Portland (Part),Charles A. Skold,D - Portland,Charles.Skold@legislature.maine.gov,(207) 329-3838,Labor
98,Pownal,Kilton M. Webb,D - Durham,Kilton.Webb@legislature.maine.gov,(207) 458-0172,"Energy, Utilities and Technology"
8,unorganized territory of Prentiss Township,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
5,Presque Isle,Joseph F. Underwood,R - Presque Isle,Joseph.Underwood@legislature.maine.gov,(207) 762-4921,State and Local Government
10,Princeton,William R. Tuell,R - East Machias,William.tuell@legislature.maine.gov,(207) 271-8521,State and Local Government
37,Prospect,Reagan L. Paul,R - Winterport,Reagan.Paul@legislature.maine.gov,(207) 944-8033,"Elections; Energy, Utilities and Technology"
53,Randolph,Michael H. Lemelin,R - Chelsea,Michael.Lemelin@legislature.maine.gov,(207) 798-9399,Government Oversight Committee - Ranking Member; Health and Human Services
73,Rangeley,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
73,plantation Rangeley,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
86,Raymond,Rolf A. Olsen,R - Raymond,Rolf.Olsen@legislature.maine.gov,(207) 632-1530,"Health Coverage, Insurance and Financial Services"
57,Readfield,Tavis Rock Hasenfus,D - Readfield,Tavis.Hasenfus@legislature.maine.gov,(207) 446-0016,Ethics; Criminal Justice and Public Safety - Chair
8,plantation Reed,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
52,Richmond,Sally Jeane Cluchey,D - Bowdoinham,Sally.Cluchey@legislature.maine.gov,(207) 814-8879,"Health Coverage, Insurance and Financial Services; Inland Fisheries and Wildlife"
72,Ripley,Elizabeth M. Caruso,R - Caratunk,Elizabeth.Caruso@legislature.maine.gov,(207) 399-9992,Leaves of Absence; Judiciary
9,Robbinston,Arthur Kevin Mingo,R - Calais,Arthur.Mingo@legislature.maine.gov,(207) 214-8537,Housing and Economic Development
42,Rockland,Valli D. Geiger,D - Rockland,Valli.Geiger@legislature.maine.gov,(207) 956-1565,"Energy, Utilities and Technology; Labor"
41,Rockport,Victoria W. Doudera,D - Camden,Vicki.Doudera@legislature.maine.gov,(207) 542-1990,Environment and Natural Resources - Chair
72,Rockwood Strip T1,Elizabeth M. Caruso,R - Caratunk,Elizabeth.Caruso@legislature.maine.gov,(207) 399-9992,Leaves of Absence; Judiciary
58,Rome,Sharon C. Frost,U - Belgrade,Sharon.Frost@legislature.maine.gov,(207) 242-6079,"Agriculture, Conservation and Forestry; Veterans and Legal Affairs"
11,Roque Bluffs,Tiffany Strout,R - Harrington,Tiffany.Strout@legislature.maine.gov,(207) 598-7043,Marine Resources
78,Roxbury,Rachel A. Henderson,R - Rumford,Rachel.Henderson@legislature.maine.gov,(207) 381-4237,Judiciary
78,Rumford,Rachel A. Henderson,R - Rumford,Rachel.Henderson@legislature.maine.gov,(207) 381-4237,Judiciary
92,Sabattus,Stephen J. Wood,R - Greene,Stephen.Wood@legislature.maine.gov,(207) 740-3723,Engrossed Bills; Inland Fisheries and Wildlife
126,Saco (Part),Drew Gattine,D - Westbrook,Andrew.Gattine@legislature.maine.gov,(207) 409-3477,Appropriations and Financial Affairs - Chair
129,Saco (Part),Marshall F. Archer,D - Saco,Marshall.Archer@legislature.maine.gov,(207) 653-2173,Labor
130,Saco (Part),Lynn Holland Copeland,D - Saco,Lynn.Copeland@legislature.maine.gov,(207) 712-6776,State and Local Government
18,unorganized territory of Sakon Township,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
73,unorganized territory of Salem Township,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
73,plantation Sandy River,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
141,Sanford (Part),Lucas John Lanigan,R - Sanford,Lucas.Lanigan@legislature.maine.gov,(207) 351-5383,Legislative Service:
142,Sanford (Part),Anne-Marie Mastraccio,D - Sanford,Anne-Marie.Mastraccio@legislature.maine.gov,(207) 432-1453,"Government Oversight Committee - Chair; Health Coverage, Insurance and Financial Services"
143,Sanford (Part),Ann Fredericks,R - Sanford,Ann.Fredericks@legislature.maine.gov,(207) 401-4141,Leaves of Absence; Veterans and Legal Affairs
30,Sangerville,James Lee White,R - Guilford,James.White@legislature.maine.gov,(207) 564-7308,Transportation
124,Scarborough (Part),Sophia B. Warren,D - Scarborough,Sophia.Warren@legislature.maine.gov,(207) 450-0765,"Energy, Utilities and Technology"
125,Scarborough (Part),Kelly Noonan Murphy,D - Scarborough,Kelly.Murphy@legislature.maine.gov,(207) 318-3215,Bills in the Second Reading; Education and Cultural Affairs - Chair
126,Scarborough (Part),Drew Gattine,D - Westbrook,Andrew.Gattine@legislature.maine.gov,(207) 409-3477,Appropriations and Financial Affairs - Chair
40,Searsmont,D. Michael Ray,D - Lincolnville,Michael.Ray@legislature.maine.gov,(207) 930-0371,Transportation
37,Searsport,Reagan L. Paul,R - Winterport,Reagan.Paul@legislature.maine.gov,(207) 944-8033,"Elections; Energy, Utilities and Technology"
84,Sebago,Mark Walker,R - Naples,Mark.Walker@legislature.maine.gov,(207) 272-2728,Housing and Economic Development
30,Sebec,James Lee White,R - Guilford,James.White@legislature.maine.gov,(207) 564-7308,Transportation
28,plantation Seboeis,Irene A. Gifford,R - Lincoln,Irene.Gifford@legislature.maine.gov,(207) 290-5087,Engrossed Bills; Marine Resources
72,unorganized territory of Seboomook Lake,Elizabeth M. Caruso,R - Caratunk,Elizabeth.Caruso@legislature.maine.gov,(207) 399-9992,Leaves of Absence; Judiciary
16,Sedgwick,Nina Azella Milliken,D - Blue Hill,Nina.Milliken@legislature.maine.gov,(207) 412-8828,Elections; Criminal Justice and Public Safety
141,Shapleigh,Lucas John Lanigan,R - Sanford,Lucas.Lanigan@legislature.maine.gov,(207) 351-5383,Legislative Service:
8,Sherman,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
30,Shirley,James Lee White,R - Guilford,James.White@legislature.maine.gov,(207) 564-7308,Transportation
61,Sidney (Part),Alicia Collins,R - Sidney,Alicia.Collins@legislature.maine.gov,(207) 751-4736,Leaves of Absence; Labor
66,Sidney (Part),Robert W. Nutting,R - Oakland,Robert.Nutting@legislature.maine.gov,(207) 629-7035,Ethics; Criminal Justice and Public Safety - Ranking Member
8,unorganized territory of Silver Ridge Township,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
70,Skowhegan,Jennifer L. Poirier,R - Skowhegan,Jennifer.Poirier@legislature.maine.gov,(207) 399-9784,Judiciary - Ranking Member
66,Smithfield,Robert W. Nutting,R - Oakland,Robert.Nutting@legislature.maine.gov,(207) 629-7035,Ethics; Criminal Justice and Public Safety - Ranking Member
6,Smyrna,Donald J. Ardell,R - Monticello,Donald.Ardell@legislature.maine.gov,(207) 521-1130,Engrossed Bills; Criminal Justice and Public Safety
72,Solon,Elizabeth M. Caruso,R - Caratunk,Elizabeth.Caruso@legislature.maine.gov,(207) 399-9992,Leaves of Absence; Judiciary
62,Somerville,Katrina J. Smith,R - Palermo,Katrina.Smith@legislature.maine.gov,(207) 230-9583,Ethics; Rules and Business of the House; Joint Select Committee on Joint Rules
12,Sorrento,Billy Bob Faulkingham,R - Winter Harbor,William.Faulkingham@legislature.maine.gov,(207) 460-6967,Joint Select Committee on Joint Rules - Ranking Member
8,unorganized territory of South Aroostook,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
149,South Berwick (Part),Tiffany Roberts,D - South Berwick,Tiffany.Roberts@legislature.maine.gov,(207) 210-3287,Housing and Economic Development; Inland Fisheries and Wildlife - Chair
150,South Berwick (Part),Michele Meyer,D - Eliot,Michele.Meyer@legislature.maine.gov,(207) 438-9197,Health and Human Services - Chair
48,South Bristol,Holly B. Stover,D - Boothbay,Holly.Stover@legislature.maine.gov,(207) 633-5979,Ethics; Appropriations and Financial Affairs
74,South Franklin,Randall C. Hall,R - Wilton,Randall.Hall@legislature.maine.gov,(207) 860-8431,Legislative Service:
81,unorganized territory of South Oxford,Peter Conley Wood,R - Norway,Peter.Wood@legislature.maine.gov,(207) 890-3324,Marine Resources
120,South Portland (Part),Deqa Dhalac,D - South Portland,Deqa.Dhalac@legislature.maine.gov,(207) 553-0303,Appropriations and Financial Affairs
121,South Portland (Part),Christopher J. Kessler,D - South Portland,Christopher.Kessler@legislature.maine.gov,(207) 956-0882,"Bills in the Second Reading; Energy, Utilities and Technology"
122,South Portland (Part),Matthew D. Beck,D - South Portland,Matthew.Beck@legislature.maine.gov,(207) 799-4025,Labor
43,South Thomaston,Ann Higgins Matlack,D - St. George,Ann.Matlack@legislature.maine.gov,(207) 691-1474,Government Oversight Committee; State and Local Government; Taxation
31,Southeast Piscataquis,Chad R. Perkins,R - Dover-Foxcroft,Chad.Perkins@legislature.maine.gov,(207) 279-0927,Criminal Justice and Public Safety; Government Oversight Committee
48,Southport,Holly B. Stover,D - Boothbay,Holly.Stover@legislature.maine.gov,(207) 633-5979,Ethics; Appropriations and Financial Affairs
15,Southwest Habor,Holly Rae Eaton,D - Deer Isle,Holly.Eaton@legislature.maine.gov,(207) 610-9281,Marine Resources; Transportation
8,Springfield,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
141,Springvale (Part),Lucas John Lanigan,R - Sanford,Lucas.Lanigan@legislature.maine.gov,(207) 351-5383,Legislative Service:
142,Springvale (Part),Anne-Marie Mastraccio,D - Sanford,Anne-Marie.Mastraccio@legislature.maine.gov,(207) 432-1453,"Government Oversight Committee - Chair; Health Coverage, Insurance and Financial Services"
2,unorganized territory of Square Lake,Roger Clarence Albert,R - Madawaska,Roger.Albert@legislature.maine.gov,(207) 436-9156,Transportation
2,St. Agatha,Roger Clarence Albert,R - Madawaska,Roger.Albert@legislature.maine.gov,(207) 436-9156,Transportation
69,St. Albans,Dean A. Cray,R - Palmyra,dean.cray@legislature.maine.gov,(207) 478-8279,"Bills in the Second Reading; Agriculture, Conservation and Forestry"
1,St. Francis,Lucien J.B. Daigle,R - Fort Kent,Lucien.Daigle@legislature.maine.gov,(207) 631-8082,Health and Human Services
43,St. George,Ann Higgins Matlack,D - St. George,Ann.Matlack@legislature.maine.gov,(207) 691-1474,Government Oversight Committee; State and Local Government; Taxation
1,plantation St. John,Lucien J.B. Daigle,R - Fort Kent,Lucien.Daigle@legislature.maine.gov,(207) 631-8082,Health and Human Services
8,Stacyville,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
84,Standish (Part),Mark Walker,R - Naples,Mark.Walker@legislature.maine.gov,(207) 272-2728,Housing and Economic Development
85,Standish (Part),Kimberly J. Pomerleau,R - Standish,Kimberly.Pomerleau@legislature.maine.gov,(207) 332-2555,Elections; State and Local Government
66,Starks,Robert W. Nutting,R - Oakland,Robert.Nutting@legislature.maine.gov,(207) 629-7035,Ethics; Criminal Justice and Public Safety - Ranking Member
32,Stetson,Steven D. Foster,R - Dexter,Steven.Foster@legislature.maine.gov,(207) 924-4409,"Energy, Utilities and Technology - Ranking Member"
12,Steuben,Billy Bob Faulkingham,R - Winter Harbor,William.Faulkingham@legislature.maine.gov,(207) 460-6967,Joint Select Committee on Joint Rules - Ranking Member
3,Stockholm,Mark Michael Babin,R - Fort Fairfield,Mark.Babin@legislature.maine.gov,(207) 227-0198,Judiciary
37,Stockton Springs,Reagan L. Paul,R - Winterport,Reagan.Paul@legislature.maine.gov,(207) 944-8033,"Elections; Energy, Utilities and Technology"
81,Stoneham,Peter Conley Wood,R - Norway,Peter.Wood@legislature.maine.gov,(207) 890-3324,Marine Resources
15,Stonington,Holly Rae Eaton,D - Deer Isle,Holly.Eaton@legislature.maine.gov,(207) 610-9281,Marine Resources; Transportation
81,Stow,Peter Conley Wood,R - Norway,Peter.Wood@legislature.maine.gov,(207) 890-3324,Marine Resources
74,Strong,Randall C. Hall,R - Wilton,Randall.Hall@legislature.maine.gov,(207) 860-8431,Legislative Service:
12,Sullivan,Billy Bob Faulkingham,R - Winter Harbor,William.Faulkingham@legislature.maine.gov,(207) 460-6967,Joint Select Committee on Joint Rules - Ranking Member
18,unorganized territory of Summit Townships,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
79,Sumner,Michael J. Lance,R - Paris,Michael.Lance@legislature.maine.gov,(207) 577-1022,Inland Fisheries and Wildlife
16,Surry,Nina Azella Milliken,D - Blue Hill,Nina.Milliken@legislature.maine.gov,(207) 412-8828,Elections; Criminal Justice and Public Safety
15,Swan's Island,Holly Rae Eaton,D - Deer Isle,Holly.Eaton@legislature.maine.gov,(207) 610-9281,Marine Resources; Transportation
38,Swanville,Benjamin C. Hymes,R - Waldo,Benjamin.Hymes@legislature.maine.gov,(207) 808-3413,Veterans and Legal Affairs
81,Sweden,Peter Conley Wood,R - Norway,Peter.Wood@legislature.maine.gov,(207) 890-3324,Marine Resources
18,township T10 SD TWP (Milbrodge),Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
6,township T11 R4 WELS,Donald J. Ardell,R - Monticello,Donald.Ardell@legislature.maine.gov,(207) 521-1130,Engrossed Bills; Criminal Justice and Public Safety
2,unorganized territory of T15 R6 WELS Township,Roger Clarence Albert,R - Madawaska,Roger.Albert@legislature.maine.gov,(207) 436-9156,Transportation
18,township T22 MD TWP,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
18,township T3 ND TWP,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
6,township T7 R5 WELS,Donald J. Ardell,R - Monticello,Donald.Ardell@legislature.maine.gov,(207) 521-1130,Engrossed Bills; Criminal Justice and Public Safety
18,township T7 SD TWP,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
18,township T9 SD TWP,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
8,Talmadge,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
6,township TD R2 WELS,Donald J. Ardell,R - Monticello,Donald.Ardell@legislature.maine.gov,(207) 521-1130,Engrossed Bills; Criminal Justice and Public Safety
74,Temple,Randall C. Hall,R - Wilton,Randall.Hall@legislature.maine.gov,(207) 860-8431,Legislative Service:
73,plantation The Forks,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
43,Thomaston,Ann Higgins Matlack,D - St. George,Ann.Matlack@legislature.maine.gov,(207) 691-1474,Government Oversight Committee; State and Local Government; Taxation
38,Thorndike,Benjamin C. Hymes,R - Waldo,Benjamin.Hymes@legislature.maine.gov,(207) 808-3413,Veterans and Legal Affairs
8,Topsfield,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
51,Topsham (Part),Rafael Leo Macias,D - Topsham,Rafael.Macias@legislature.maine.gov,(207) 891-1084,Labor
98,Topsham (Part),Kilton M. Webb,D - Durham,Kilton.Webb@legislature.maine.gov,(207) 458-0172,"Energy, Utilities and Technology"
15,Tremont,Holly Rae Eaton,D - Deer Isle,Holly.Eaton@legislature.maine.gov,(207) 610-9281,Marine Resources; Transportation
16,Trenton,Nina Azella Milliken,D - Blue Hill,Nina.Milliken@legislature.maine.gov,(207) 412-8828,Elections; Criminal Justice and Public Safety
68,Troy,Amanda N. Collamore,R - Pittsfield,Amanda.Collamore@legislature.maine.gov,(207) 679-7305,Ethics - Ranking Member; Housing and Economic Development - Ranking Member
91,Turner,Joshua K. Morris,R - Turner,Joshua.Morris@legislature.maine.gov,(207) 754-7829,"Elections - Ranking Member; Health Coverage, Insurance and Financial Services"
8,unorganized territory of Twombly Ridge Township,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
44,Union,William D. Pluecker,I - Warren,Bill.Pluecker@legislature.maine.gov,(207) 273-3044,"Engrossed Bills; Agriculture, Conservation and Forestry - Chair"
38,Unity,Benjamin C. Hymes,R - Waldo,Benjamin.Hymes@legislature.maine.gov,(207) 808-3413,Veterans and Legal Affairs
63,unorganized territory of Unity Township,Paul R. Flynn,R - Albion,Paul.Flynn@legislature.maine.gov,(207) 314-5525,"Health Coverage, Insurance and Financial Services"
73,Upton,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
2,Van Buren,Roger Clarence Albert,R - Madawaska,Roger.Albert@legislature.maine.gov,(207) 436-9156,Transportation
8,Vanceboro,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
61,Vassalboro,Alicia Collins,R - Sidney,Alicia.Collins@legislature.maine.gov,(207) 751-4736,Leaves of Absence; Labor
24,Veazie,Sean Faircloth,D - Bangor,Sean.Faircloth@legislature.maine.gov,(207) 307-9868,Veterans and Legal Affairs
17,Verona Island,Steven M. Bishop,R - Bucksport,Steven.Bishop@legislature.maine.gov,(207) 991-7909,Transportation
